Id,SalePrice
1461,129900.0
1462,60000.0
1463,197500.0
1464,181000.0
1465,220000.0
1466,181000.0
1467,153900.0
1468,183200.0
1469,180500.0
1470,120500.0
1471,191000.0
1472,89500.0
1473,85000.0
1474,148500.0
1475,133000.0
1476,313000.0
1477,282922.0
1478,318061.0
1479,319000.0
1480,386250.0
1481,325624.0
1482,202500.0
1483,169990.0
1484,172500.0
1485,180000.0
1486,225000.0
1487,440000.0
1488,227000.0
1489,194500.0
1490,175000.0
1491,183500.0
1492,163500.0
1493,181900.0
1494,267000.0
1495,348000.0
1496,213000.0
1497,183000.0
1498,151000.0
1499,151000.0
1500,143750.0
1501,176000.0
1502,148800.0
1503,282922.0
1504,230000.0
1505,221000.0
1506,173000.0
1507,240000.0
1508,181000.0
1509,173000.0
1510,174900.0
1511,174900.0
1512,117000.0
1513,173000.0
1514,119000.0
1515,155000.0
1516,172785.0
1517,171000.0
1518,145000.0
1519,221000.0
1520,124000.0
1521,148000.0
1522,165500.0
1523,110000.0
1524,134500.0
1525,134500.0
1526,134500.0
1527,93000.0
1528,142000.0
1529,174900.0
1530,159000.0
1531,179500.0
1532,98000.0
1533,145000.0
1534,142000.0
1535,149000.0
1536,115000.0
1537,82000.0
1538,172500.0
1539,228500.0
1540,160000.0
1541,140000.0
1542,141500.0
1543,159500.0
1544,55000.0
1545,105000.0
1546,134900.0
1547,175000.0
1548,132500.0
1549,139000.0
1550,197500.0
1551,108480.0
1552,134432.0
1553,135000.0
1554,154900.0
1555,180000.0
1556,81000.0
1557,85000.0
1558,108000.0
1559,130000.0
1560,197500.0
1561,136500.0
1562,62383.0
1563,120000.0
1564,167900.0
1565,197500.0
1566,201800.0
1567,113000.0
1568,211000.0
1569,139600.0
1570,147000.0
1571,175000.0
1572,135000.0
1573,280000.0
1574,174900.0
1575,190000.0
1576,211000.0
1577,195400.0
1578,172785.0
1579,132500.0
1580,188000.0
1581,124000.0
1582,129500.0
1583,305900.0
1584,222000.0
1585,142000.0
1586,82500.0
1587,119000.0
1588,157900.0
1589,102000.0
1590,125000.0
1591,135750.0
1592,100000.0
1593,62383.0
1594,225000.0
1595,175000.0
1596,262500.0
1597,154300.0
1598,176500.0
1599,197000.0
1600,197000.0
1601,60000.0
1602,135000.0
1603,106500.0
1604,275000.0
1605,275000.0
1606,171500.0
1607,210000.0
1608,200141.0
1609,199900.0
1610,167500.0
1611,177000.0
1612,167500.0
1613,181000.0
1614,117000.0
1615,75000.0
1616,75000.0
1617,83500.0
1618,62383.0
1619,144000.0
1620,225000.0
1621,156000.0
1622,118000.0
1623,230000.0
1624,211000.0
1625,113000.0
1626,180500.0
1627,181000.0
1628,258000.0
1629,168500.0
1630,278000.0
1631,392000.0
1632,275000.0
1633,180000.0
1634,175000.0
1635,165600.0
1636,153900.0
1637,170000.0
1638,192000.0
1639,180000.0
1640,266500.0
1641,180000.0
1642,225000.0
1643,275000.0
1644,230000.0
1645,217500.0
1646,175000.0
1647,152000.0
1648,140000.0
1649,124000.0
1650,120500.0
1651,120500.0
1652,100000.0
1653,118000.0
1654,155000.0
1655,132000.0
1656,148500.0
1657,155000.0
1658,148500.0
1659,133000.0
1660,146000.0
1661,437154.0
1662,325000.0
1663,385000.0
1664,466500.0
1665,370878.0
